ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0C5X757TS,B0C5X757TS,Arcos Serie Lisboa - Cubertería de 24 piezas en Caja de Regalo (6 Cuchillos + 12 Cucharas + 6 Tenedores) - Monoblock de una pieza en Acero Inoxidable - Color Plata,597400,137,1,0.02%,0.01%,231,1,0.03%,0.01%,96.30%,100.00%,9,0,6.57%,0.00%,"791,91 €","0,00 €",6,0
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,V0020_PACK2,108,2,0.02%,0.01%,138,3,0.02%,0.02%,90.91%,100.00%,6,1,5.56%,50.00%,"104,12 €","16,62 €",6,1
B0F54LTCFF,B000NOAYN6,Arcos Universal Set 2 Piezas Jamonero + Afilador Acero Inoxidable Nitrum,285500,328,27,0.06%,0.20%,373,30,0.05%,0.15%,48.51%,53.85%,5,0,1.52%,0.00%,"119,34 €","0,00 €",5,0
B0F1ZF7H1L,B005LR65BK,Arcos Cuchillo Negro 100 mm,230200_,"1,177",25,0.21%,0.18%,"1,755",31,0.21%,0.16%,8.49%,0.00%,5,0,0.42%,0.00%,"100,28 €","0,00 €",5,0
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_605010,916,33,0.16%,0.24%,"1,332",51,0.16%,0.26%,99.29%,100.00%,5,0,0.55%,0.00%,"47,45 €","0,00 €",5,0
B007TS6HNK,B007TS6HNK,ARCOS Corta Pizzas Acero Inoxidable 100 mm,614800_,220,10,0.04%,0.07%,315,15,0.04%,0.08%,10.00%,7.69%,5,1,2.27%,10.00%,"59,95 €","11,99 €",5,1
B0B3CWSDRQ,B00CF20V2I,ARCOS Chaira Afilador Manual Acero Carbono Cromado Negro 230 mm,278100_,585,12,0.10%,0.09%,852,15,0.10%,0.08%,3.94%,14.29%,5,0,0.85%,0.00%,"59,75 €","0,00 €",5,0
B0FWK4CNH3,B00WHV21BG,CUPERINOX TIJERAS PESCADO | TIJERAS COCINA| TIJERAS ACERO| TIJERAS | 20 CM | UTENSILIOS DE COCINA,21992_,29,0,0.01%,0.00%,39,0,0.00%,0.00%,100.00%,0.00%,6,0,20.69%,0.00%,"43,50 €","0,00 €",5,0
B017DLM9SO,B017DLM9SO,ARCOS Tenedores para Tartas Acero Inoxidable 18/10 140 mm,574300_fba,"1,199",43,0.21%,0.31%,"1,807",62,0.22%,0.31%,2.98%,0.00%,6,0,0.50%,0.00%,"59,94 €","0,00 €",5,0
B019H2J21O,B019H2J21O,"Cuperinox 22531, Flanero Inoxidable 18cm con tapa",22531_us,160,0,0.03%,0.00%,207,0,0.03%,0.00%,98.36%,0.00%,5,0,3.13%,0.00%,"42,95 €","0,00 €",5,0
B07DFK4T6L,B07DFK4T6L,"Arcos Cuchillo Deshuesador Profesional - Hoja Silk Edge Acero Inoxidable Nitrum 160 mm, Precisión y Durabilidad, Mango Ergonómico POM Negro, Serie Manhattan",162600_,105,2,0.02%,0.01%,157,3,0.02%,0.02%,96.09%,100.00%,5,0,4.76%,0.00%,"138,75 €","0,00 €",5,0
B07F9GQZCB,B07F9GQZCB,Arcos Cuchillo para Verduras de 4 Pulgadas con Hoja de 105mm en Acero Inoxidable y Mango de Madera. Cuchillo para Vegetales Apto para Lavavajillas. Serie Latina. Color Marrón,100500_fba,354,8,0.06%,0.06%,572,13,0.07%,0.07%,91.12%,100.00%,5,0,1.41%,0.00%,"184,95 €","0,00 €",5,0
B0FR444FLT,B07N8W7718,Arcos Cuchillo Chef Forjado Acero Inoxidable Tamaño. Mango Profesional Micarta y BorSeda Especial con Hoja Plateada 250 mm. Impresiona yorprencon Cada Corte. Serie Brooklyn. Color Azul.,190823_,259,8,0.05%,0.06%,333,13,0.04%,0.07%,96.15%,100.00%,5,0,1.93%,0.00%,"264,95 €","0,00 €",5,0
B07N8WMVK1,B07N8WMVK1,ARCOS Taco Cajonera Organizador Bambú hasta 25 cm Marrón,794300_fbm,321,5,0.06%,0.04%,515,5,0.06%,0.03%,20.00%,50.00%,5,0,1.56%,0.00%,"159,95 €","0,00 €",5,0
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_,"13,033",263,2.29%,1.91%,"18,145",379,2.21%,1.91%,27.65%,5.83%,7,6,0.05%,2.28%,"67,89 €","56,90 €",5,4
B08M9QRSW8,B08M9QRSW8,Arcos | Juego Cuchillos cuchillos mesa | 6 Uds | cuchillo fruta | cuchillo postre | Hoja 110 mm | Acero Inoxidable Martensítico | Mango Nylon | apto lavavajillas | Envase Ecológico,703600fbm,114,3,0.02%,0.02%,189,9,0.02%,0.05%,99.38%,100.00%,28,23,24.56%,766.67%,"267,42 €","207,47 €",5,2
B08PFX1GT8,B08PFX1GT8,WINS – Fregasuelos Magnolia 017 |Friegasuelos Limpiador Neutro para Suelos y Superficies | Garrafa 5L | Aroma Magnolia Suave y Duradero | Uso Diario Profesional | 100% Made in Spain,WINS017,51,4,0.01%,0.03%,66,6,0.01%,0.03%,93.65%,100.00%,9,5,17.65%,125.00%,"87,13 €","45,17 €",5,2
