ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B017HKHR92,B005LR6FAG,Arcos Séries Riviera - Couteau du Chef Couteau à Découper - Lame Acier Inoxydable Forgé Nitrum 200 mm - Manche Polyoxyméthylène (Pom) Couleur Noir,233600,767,23,0.26%,0.29%,"1,157",42,0.27%,0.38%,27.15%,14.71%,15,5,1.96%,21.74%,"469,00 €","129,10 €",13,3
B078JNNC71,B09LZ2VHYP,CUPERINOX Deluxe - Cafetière Italienne Induction 10 Tasses Inox Tous Feux,25053,671,11,0.22%,0.14%,822,13,0.19%,0.12%,85.40%,66.67%,13,0,1.94%,0.00%,"455,45 €","0,00 €",13,0
B0D2WWWPQW,B0CQTKPL63,CUPERINOX Couteaux à viande | Couteaux de table | Couteaux à steak | 24 pièces | Lame sciée | Manche en polypropylène | Acier inoxydable | 11 cm |,99901_24pzs,"13,721",490,4.58%,6.27%,"18,257",666,4.30%,6.01%,96.35%,94.67%,30,16,0.22%,3.27%,"579,72 €","299,86 €",13,4
B00TA4O5YO,B00TA4O5YO,ARCOS Pinces de Dressage 300 mm en Acier Inoxydable - Ustensile de Cuisine Professionnel pour Présentation de Plats - Gadget Chef Argent,606200,160,4,0.05%,0.05%,219,6,0.05%,0.05%,48.00%,0.00%,12,0,7.50%,0.00%,"147,36 €","0,00 €",12,0
B07G75XCXM,B07G75XCXM,Arcos Couteaux de Table - Boîte 12 pièces Couteau de Table - Lame Acier Inoxydable Nitrum 125 mm - Manche Polypropylène Couleur Brun (12 pcs),370200_fbm,179,2,0.06%,0.03%,266,3,0.06%,0.03%,92.67%,50.00%,12,0,6.70%,0.00%,"252,05 €","0,00 €",12,0
B07JJGXYZD,B07JJGXYZD,Arcos Séries Manhattan - Jeu de Couteaux de Cuisine 3 pièces (Chef + Éplucher + Santoku) - Lame Acier Inoxydable Forgé Nitrum - Manche Polyoxyméthylène (POM) Couleur Noir (Fil Soie),858100_,227,2,0.08%,0.03%,321,2,0.08%,0.02%,95.09%,100.00%,12,0,5.29%,0.00%,"1.015,63 €","0,00 €",12,0
B07JWM27F4,B07JWM27F4,"Arcos Ensemble de Couteaux de Cuisine Professionnels Forgés – 3 Couteaux pour Couper et Peler les Aliments, Poignée Ergonomique en Polyoxyméthylène – Série Riviera, Couleur Rose",855100,350,5,0.12%,0.06%,488,7,0.11%,0.06%,76.14%,83.33%,12,1,3.43%,20.00%,"893,88 €","68,99 €",12,1
B09LYXZKTZ,B09LYXZKTZ,CUPERINOX Deluxe - Cafetière Italienne Induction 4 Tasses Inox Tous Feux,25051,228,1,0.08%,0.01%,311,1,0.07%,0.01%,93.57%,100.00%,12,0,5.26%,0.00%,"307,88 €","0,00 €",12,0
B0CYTKGNPM,B0CW68KM18,ARCOS Éplucheur de cuisine – Lame en acier inoxydable | Poignée ergonomique | Outil polyvalent pour éplucher les fruits et légumes,607300,59,1,0.02%,0.01%,81,1,0.02%,0.01%,97.40%,0.00%,14,0,23.73%,0.00%,"111,86 €","0,00 €",12,0
B0044R87ZA,B0044R87ZA,"Arcos Couteau de Cuisine Professionnel en Acier – Idéal pour Éplucher les Fruits et Légumes, Poignée Ergonomique en Polyoxyméthylène, Lame de 150 mm – Couleur Noire, Série Maitre",150700,173,5,0.06%,0.06%,228,6,0.05%,0.05%,95.73%,66.67%,15,5,8.67%,100.00%,"141,50 €","41,60 €",11,1
