Región,Nombre de la campaña,ID de la campaña,País,Código de estado,Estado,Tipo,Segmentación,Fecha de inicio de la campaña,Fecha de finalización de la campaña,Importe del presupuesto de la campaña (convertido),Importe del presupuesto de la campaña,CPM (convertido),CPM,Ajuste de la puja por el top de búsquedas,Clics,CTR,Coste total (convertido),Coste total,CPC (convertido),CPC,Vistas de páginas de detalles del producto (nuevos para la marca),Añadir a la cesta,Añadir a la cesta (nuevos para la marca),Búsquedas de marca,Búsquedas de marca (nuevos para la marca),Vistas a la página de la Brand Store (nuevos para la marca),Compras,Ventas (convertido),Ventas,ROAS,Porcentaje de impresiones del top de búsquedas
EN PAUSA,Advertise Items with Low Traffic,A055922733YCG2MOCI1WM,Italia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,01/02/2019,,"10,00 €","10,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,Advertise Top Selling Items,A0559071WBITEL52WGYM,Italia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,01/02/2019,,"10,00 €","10,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,sp_tacos,A04343133R2L7IPX38M71,Francia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,05/03/2019,,"2,00 €","2,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,sp_tacos,A01204342OOCJ6YUDHD60,Alemania,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,05/03/2019,,"10,00 €","10,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,sp_tacos,A06971693MKL7S1WTVBYQ,Reino Unido,CAMPAIGN_PAUSED,En pausa,SP,MANUAL,07/03/2019,,"11,64 €","10,00 GBP",,,0,0,0,"0,00 €","0,00 GBP",,,0,0,0,0,0,0,0,"0,00 €","0,00 GBP",0,0
EN PAUSA,SP_B00HX2W9I4_20200_AUTO_FR,A08329021GT7GL9XLS7QV,Francia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,06/02/2020,,"5,00 €","5,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,SPP_BLOQUEMADERA_19510_05MARZ20_MAN,A03919691W4K0WRMXYNRD,Francia,CAMPAIGN_PAUSED,En pausa,SP,MANUAL,04/03/2020,,"15,00 €","15,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,GEL WC BIOLEAF,A10083121AQHCSPPO3U44,España,CAMPAIGN_PAUSED,En pausa,SB,MANUAL,09/02/2026,,"5,00 €","5,00 €",,,0,20,"0,0033","5,73 €","5,73 €","0,29 €","0,29 €",0,0,0,0,0,0,1,"16,52 €","16,52 €",2.8830715532286213,<5%
EN PAUSA,AZ - SP - LIMPIACRISTALES - AUTO,A0538151UJ2Y65VX99E4,España,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,09/02/2026,,"5,00 €","5,00 €",,,0,176,"0,0036","59,08 €","59,08 €","0,34 €","0,34 €",0,0,0,0,0,0,28,"348,12 €","348,12 €",5.892349356804331,<5%
ACTIVADA,AZ - SP - BIOLEAF - LAVAVAJILLAS - AUTO,A06191783CU30VG6RD53I,España,CAMPAIGN_STATUS_ENABLED,Mostrando,SP,AUTOMATIC,12/02/2026,,"5,00 €","5,00 €",,,"0,25",319,"0,0043","121,57 €","121,57 €","0,38 €","0,38 €",0,0,0,0,0,0,21,"281,19 €","281,19 €",2.3129884017438527,<5%
EN PAUSA,AZ - SP - GEL WC - AUTO v2,A08111351CEIHBYECK9OG,España,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,12/02/2026,,"10,00 €","10,00 €",,,"0,25",2330,"0,0033","1435,62 €","1435,62 €","0,62 €","0,62 €",0,0,0,0,0,0,236,"2056,08 €","2056,08 €",1.4321895766289123,<5%
